ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/04/2021;CE;JUAZEIRO DO NORTE;1;REMANEJAMENTO - BL E VOIP
01/04/2021;MG;CATAGUASES;1;REMANEJAMENTO - BL E VOIP
01/04/2021;MG;JUIZ DE FORA;2;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;MG;SETE LAGOAS;1;REMANEJAMENTO - VOIP
01/04/2021;MG;UBA;1;REMANEJAMENTO - BL E VOIP
01/04/2021;PR;PONTA GROSSA;6;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;CABO FRIO;8;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;DUQUE DE CAXIAS;1;REMANEJAMENTO - VOIP
01/04/2021;RJ;NITEROI;3;REMANEJAMENTO - BL
01/04/2021;RJ;PETROPOLIS;4;REMANEJAMENTO - BL E VOIP
01/04/2021;RO;PORTO VELHO;5;REMANEJAMENTO - BL E VOIP
01/04/2021;RS;ALVORADA;4;REMANEJAMENTO - BL E VOIP
01/04/2021;RS;SAO LEOPOLDO;4;REMANEJAMENTO - BL E VOIP
01/04/2021;RS;VIAMAO;1;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;SC;FLORIANOPOLIS;1;REMANEJAMENTO - BL E VOIP
01/04/2021;SC;JOINVILLE;2;REMANEJAMENTO - BL E VOIP
01/05/2021;BA;FEIRA DE SANTANA;1;REMANEJAMENTO - BL E VOIP
01/05/2021;BA;JEQUIE;1;REMANEJAMENTO - BL E VOIP
01/05/2021;DF;BRASILIA;1;REMANEJAMENTO - VOIP
01/05/2021;GO;GOIANIA;1;REMANEJAMENTO - BL
01/05/2021;MG;CATAGUASES;1;REMANEJAMENTO - BL E VOIP E IPTV
01/05/2021;MG;DIVINOPOLIS;2;REMANEJAMENTO - BL E VOIP
01/05/2021;MG;UBA;1;REMANEJAMENTO - BL E VOIP
01/05/2021;MT;CUIABA;1;REMANEJAMENTO - BL
01/05/2021;PA;BELEM;3;REMANEJAMENTO - BL E VOIP
01/05/2021;PE;OLINDA;1;REMANEJAMENTO - VOIP
01/05/2021;PR;FOZ DO IGUACU;1;REMANEJAMENTO - BL E VOIP
01/05/2021;RJ;NOVA IGUACU;1;REMANEJAMENTO - BL E VOIP
01/05/2021;RJ;PETROPOLIS;5;REMANEJAMENTO - BL E VOIP
01/05/2021;RJ;VOLTA REDONDA;2;REMANEJAMENTO - BL E VOIP
01/05/2021;RS;CANOAS;1;REMANEJAMENTO - BL E VOIP
01/05/2021;SC;ITAJAI;2;REMANEJAMENTO - VOIP
01/06/2021;AM;MANAUS;2;REMANEJAMENTO - BL
01/06/2021;BA;ITABUNA;1;REMANEJAMENTO - BL E VOIP
01/01/2021;GO;APARECIDA DE GOIANIA;2;REMANEJAMENTO - BL
01/01/2021;MG;JUIZ DE FORA;1;REMANEJAMENTO - BL E VOIP
01/01/2022;RJ;RIO DE JANEIRO;1;REMANEJAMENTO - BL
01/02/2021;AC;RIO BRANCO;4;REMANEJAMENTO - BL E VOIP
01/02/2021;AP;MACAPA;3;REMANEJAMENTO - BL E VOIP
01/02/2021;AP;MACAPA;1;REMANEJAMENTO - IPTV
01/02/2021;BA;EUNAPOLIS;2;REMANEJAMENTO - BL E VOIP
01/02/2021;GO;GOIANIA;2;REMANEJAMENTO - BL E VOIP
01/02/2021;MA;SAO LUIS;1;REMANEJAMENTO - VOIP E IPTV
01/02/2021;MG;BETIM;2;REMANEJAMENTO - BL E VOIP
01/02/2021;MG;BETIM;1;REMANEJAMENTO - IPTV
01/02/2021;MG;CONTAGEM;3;REMANEJAMENTO - BL
01/02/2021;MG;VARGINHA;1;REMANEJAMENTO - BL
01/02/2021;MT;CUIABA;1;REMANEJAMENTO - BL
01/02/2021;PR;PONTA GROSSA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;RJ;ANGRA DOS REIS;2;REMANEJAMENTO - BL
01/02/2021;RJ;CABO FRIO;1;REMANEJAMENTO - BL
01/02/2021;RJ;NOVA IGUACU;2;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;QUEIMADOS;1;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;CANOAS;4;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;PASSO FUNDO;5;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;PASSO FUNDO;1;REMANEJAMENTO - VOIP
01/02/2021;RS;PELOTAS;1;REMANEJAMENTO - BL
01/02/2021;RS;PORTO ALEGRE;1;REMANEJAMENTO - BL
01/02/2021;SC;LAGES;1;REMANEJAMENTO - BL
01/02/2021;SC;RIO DO SUL;1;REMANEJAMENTO - VOIP
01/02/2022;BA;TEIXEIRA DE FREITAS;2;REMANEJAMENTO - BL E VOIP
01/02/2022;BA;VITORIA DA CONQUISTA;2;REMANEJAMENTO - BL E VOIP
01/02/2022;GO;APARECIDA DE GOIANIA;8;REMANEJAMENTO - BL E VOIP
01/02/2022;GO;APARECIDA DE GOIANIA;1;REMANEJAMENTO - VOIP
01/02/2022;MA;SAO LUIS;4;REMANEJAMENTO - BL
01/02/2022;MG;JUIZ DE FORA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;MG;POCOS DE CALDAS;1;REMANEJAMENTO - BL
01/02/2022;MG;SETE LAGOAS;1;REMANEJAMENTO - BL E VOIP
01/02/2022;MS;CAMPO GRANDE;1;REMANEJAMENTO - BL
01/02/2022;MS;DOURADOS;3;REMANEJAMENTO - BL
01/02/2022;PA;BELEM;2;REMANEJAMENTO - BL
